,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,home_point_1_back,home_point_3_back,home_point_5_back,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,draw_0_proba,draw_1_proba
0,2020,31,fcfamalicao,benfica,0,0,0,0.43,0.3,0.27,0.47,0.27,0.27,1.5,1.47,1.67,1.53,1.6,0,2,8,1.67,0.17,0.7,0.13,0.17,0.73,0.13,0.13,2.07,0.8,1.87,0.8,2.23,2.33,0,3,5,0.53,0.8359267314876332,0.16407326851236684
1,2020,31,ferreira,braga,0,0,0,0.33,0.13,0.53,0.33,0.13,0.53,0.97,1.4,0.8,1.07,1.13,0,6,9,1.13,-0.2,0.53,0.17,0.3,0.47,0.13,0.4,1.77,1.2,1.6,1.2,1.77,1.53,0,4,4,0.23,0.8466835137144201,0.1533164862855799
2,2020,31,belenenses,fcmoreirense,0,0,0,0.27,0.23,0.5,0.27,0.27,0.47,0.83,1.67,0.8,1.6,1.03,1,1,5,1.07,-0.23,0.3,0.4,0.3,0.2,0.47,0.33,1.27,1.17,1.13,1.2,1.3,1.07,3,5,8,0.0,0.746347796980377,0.253652203019623
3,2020,31,boavistaporto,madeira,0,0,0,0.33,0.27,0.4,0.33,0.27,0.4,0.83,1.07,1.0,1.0,1.27,3,6,9,1.27,-0.07,0.27,0.33,0.4,0.2,0.27,0.53,1.0,1.27,0.6,1.33,1.13,0.87,3,6,7,-0.13,0.5038046344891446,0.4961953655108554
4,2020,31,rioave,portimonense,0,0,0,0.43,0.27,0.3,0.33,0.33,0.33,1.4,1.1,1.53,1.33,1.57,3,6,9,1.33,0.13,0.17,0.4,0.43,0.13,0.33,0.53,0.8,1.33,0.67,1.53,0.9,0.73,3,7,11,-0.27,0.5710190176447265,0.42898098235527343
5,2020,31,tondela,porto,0,0,0,0.23,0.3,0.47,0.13,0.33,0.53,0.8,1.23,0.67,1.27,1.0,1,1,5,0.73,-0.23,0.77,0.13,0.1,0.67,0.2,0.13,2.07,0.6,1.73,0.8,2.43,2.2,3,7,10,0.67,0.6958869827263156,0.30411301727368445
6,2020,31,sporting,santaclara,0,0,0,0.57,0.17,0.27,0.73,0.0,0.27,1.57,1.0,1.6,0.87,1.87,3,9,13,2.2,0.3,0.33,0.27,0.4,0.33,0.33,0.33,0.97,1.2,1.07,1.13,1.27,1.33,0,4,8,-0.07,0.600118850450822,0.39988114954917797
7,2020,31,vitoriaguimar,vicente,0,0,0,0.4,0.33,0.27,0.47,0.27,0.27,1.63,1.07,1.67,0.87,1.53,3,4,6,1.67,0.13,0.3,0.3,0.4,0.2,0.2,0.6,1.07,1.23,0.8,1.4,1.2,0.8,0,3,3,-0.1,0.6242190903019025,0.3757809096980975
8,2020,31,cdaves,vitoriasetuba,0,0,0,0.13,0.07,0.8,0.2,0.07,0.73,0.77,1.97,0.73,1.47,0.47,0,1,1,0.67,-0.67,0.2,0.4,0.4,0.2,0.33,0.47,0.8,1.33,0.8,1.47,1.0,0.93,0,0,2,-0.2,0.8089207017598582,0.19107929824014183
